Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
P/2004 R1 (McNaught),54629.0,2455248.548,0.6825269429999999,4.894555854,0.626837835,295.9854497,0.9861920059999999,5.23,5.48,0.027011,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.5675,20,P/2004 R1 (McNaught)
P/2008 S1 (Catalina-McNaught),55101.0,2454741.329,0.6663127807,15.1007464,203.6490232,111.39200290000001,1.190641555,5.95,6.74,0.194101,4.631589210526316e-08,9.713200000000002e-11,2.770700000000001e-10,20.5675,13,P/2008 S1 (Catalina-McNaught)
1P/Halley,49400.0,2446467.395,0.9671429085,162.26269059999998,111.3324851,58.42008098,0.5859781115,35.08,75.32,0.063782,2.7000000000000005e-10,1.55e-10,2.770700000000001e-10,20.5675,J863/77,1P/Halley
2P/Encke,56870.0,2456618.204,0.8482682514,11.77999525,186.5403463,334.56980560000005,0.3360923855,4.09,3.3,0.173092,1.5800000000000002e-10,-5.0500000000000005e-12,2.7707000000000006e-10,20.5675,74,2P/Encke
3D/Biela,-9480.0,2390514.115,0.7512989999999999,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,3.9e-09,-2.54e-10,2.7707000000000006e-10,20.567500000000003,IAUCAT03,3D/Biela
5D/Brorsen,7440.0,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,1.27e-08,1.3400000000000001e-09,2.7707000000000006e-10,20.567500000000003,IAUCAT03,5D/Brorsen
7P/Pons-Winnecke,56981.0,2457053.028,0.6375275046,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,0.22419099999999997,7.859999999999999e-11,-1.1499999999999999e-11,-1.53e-10,131.0,K088/14,7P/Pons-Winnecke
8P/Tuttle,54374.0,2454492.526,0.819799747,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,0.09531,6.89e-10,1.37e-10,-4.59e-10,20.567500000000003,K074/27,8P/Tuttle
12P/Pons-Brooks,35000.0,2434885.381,0.9548123942,74.17689423,199.0284686,255.8911444,0.7736670873,33.47,70.85,0.1873,-1.02e-09,-2.71e-10,2.770700000000001e-10,20.5675,15,12P/Pons-Brooks
13P/Olbers,35760.0,2435643.635,0.9302971475,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,0.477199,9.45e-09,6.49e-10,2.770700000000001e-10,20.567499999999995,10,13P/Olbers
15P/Finlay,57003.0,2457018.557,0.7201837656,6.798912616,347.5528394,13.7781465,0.9759007725,6.0,6.51,0.009433,4.08e-09,6.65e-11,2.7707000000000006e-10,20.567499999999995,K085/14,15P/Finlay
18D/Perrine-Mrkos,40240.0,2440162.042,0.6425809824000001,17.75898277,166.05041709999998,240.8755466,1.2722480809999999,5.85,6.72,0.28923000000000004,4.631589210526316e-08,9.713200000000002e-11,2.770700000000001e-10,20.567499999999995,J682/18,18D/Perrine-Mrkos
20D/Westphal,20080.0,2420098.29,0.919831189,40.89006106,57.08095497,348.00644689999996,1.2540127620000001,30.03,61.87,0.468283,4.631589210526316e-08,9.713199999999998e-11,2.7707000000000006e-10,20.567499999999995,19,20D/Westphal
21P/Giacobini-Zinner,56498.0,2455969.126,0.7068178874,31.90810099,172.58442490000002,195.3970145,1.030696274,6.0,6.59,0.035394999999999996,3.3500000000000002e-09,-4.29e-10,-9.57e-10,-32.8,K123/6,21P/Giacobini-Zinner
23P/Brorsen-Metcalf,47800.0,2447781.437,0.9719522579000001,19.33394047,129.6106837,311.5854622,0.47875271070000003,33.66,70.52,0.19387200000000002,2.25e-09,-5.33e-10,2.7707000000000006e-10,20.567499999999995,13,23P/Brorsen-Metcalf
24P/Schaumasse,52120.0,2452032.161,0.7048003556999999,11.75152976,57.87449255,79.83103829999999,1.205010042,6.96,8.25,0.28218000000000004,1.1e-09,-5.86e-10,2.7707e-10,20.5675,K014/19,24P/Schaumasse
26P/Grigg-Skjellerup,56978.0,2456479.559,0.6402771379,22.42889388,2.146692288,211.53755479999998,1.0852477809999999,4.95,5.24,0.079476,1.13e-10,-1.05e-11,2.7707000000000006e-10,20.5675,K139/6,26P/Grigg-Skjellerup
27P/Crommelin,56364.0,2455777.391,0.9189810923,28.96687279,196.0253969,250.62640980000003,0.7482874670999999,17.72,28.07,0.215189,-3.6499999999999996e-08,-1.71e-09,2.0800000000000003e-09,20.5675,K113/4,27P/Crommelin
41P/Tuttle-Giacobini-Kresak,53821.0,2453898.2909999997,0.6604126649000001,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,0.135384,1.35e-08,3.3100000000000004e-09,2.7707000000000006e-10,20.5675,K064/9,41P/Tuttle-Giacobini-Kresak
45P/Honda-Mrkos-Pajdusakova,56060.0,2455833.2819999997,0.8246720759,4.252433261,326.25804039999997,89.0021809,0.5297614214,5.51,5.25,0.060071000000000006,3.88e-09,4.33e-10,2.7707000000000006e-10,20.5675,K112/2,45P/Honda-Mrkos-Pajdusakova
46P/Wirtanen,56799.0,2456482.869,0.6592025614,11.75713931,356.34020530000004,82.16439077,1.052262085,5.12,5.43,0.068212,2.8199999999999998e-09,-1.36e-09,6.650000000000001e-10,-3.73,K073/17,46P/Wirtanen
55P/Tempel-Tuttle,51040.0,2450872.598,0.905552721,162.4865754,172.5002737,235.27098909999998,0.9764279155,19.7,33.24,0.008481,1.58e-09,9.19e-11,2.7707000000000006e-10,20.5675,J985/69,55P/Tempel-Tuttle
66P/du Toit,52920.0,2452879.492,0.7877014869,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,0.430358,-3.77e-10,-1.1000000000000001e-10,2.7707e-10,20.5675,48,66P/du Toit
67P/Churyumov-Gerasimenko,56981.0,2457247.5719999997,0.6409739314,7.0402009020000005,12.78560607,50.14210951,1.243241683,5.68,6.44,0.257189,1.09e-09,1.0699999999999999e-10,1.96e-10,20.5675,K084/21,67P/Churyumov-Gerasimenko
72P/Denning-Fujikawa,56981.0,2456850.137,0.8191545266,9.16928387,337.85804249999995,36.10919646,0.7841612055,7.89,9.03,0.085253,4.631589210526316e-08,9.713200000000001e-11,2.7707e-10,20.567499999999995,21,72P/Denning-Fujikawa
73P/Schwassmann-Wachmann 3,50080.0,2449983.39,0.6948269106,11.4234876,198.76997869999997,69.94634151,0.9327707926000001,5.18,5.34,0.045198,6.8700000000000005e-09,4.900000000000001e-10,2.7707e-10,20.567499999999995,J954/19,73P/Schwassmann-Wachmann 3
73P/Schwassmann-Wachmann 3-B,53880.0,2453894.424,0.6932855207999999,11.39695195,198.7994526,69.8924768,0.9391110367000001,5.18,5.36,0.04071,1.49e-08,1.9600000000000003e-09,2.7707e-10,20.567499999999995,K061/24,73P/Schwassmann-Wachmann 3-B
73P/Schwassmann-Wachmann 3-C,55980.0,2455851.4,0.6922258013,11.37915706,198.87059140000002,69.84321690000002,0.9428566312000001,5.18,5.36,0.038373000000000004,6.54e-09,4.83e-10,2.7707e-10,-12.2,K114/1,73P/Schwassmann-Wachmann 3-C
73P/Schwassmann-Wachmann 3-E,51920.0,2451937.953,0.6938774628000001,11.40562118,198.7732444,69.91710448,0.9374369945000001,5.19,5.36,0.041033,1.72e-08,5.8099999999999996e-09,2.7707000000000006e-10,20.567499999999995,K013/11,73P/Schwassmann-Wachmann 3-E
73P/Schwassmann-Wachmann 3-G,53839.0,2453894.596,0.6934129712,11.38956229,198.77460109999998,69.90839961,0.9391839301,5.19,5.36,0.04054,4.631589210526317e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,19,73P/Schwassmann-Wachmann 3-G
73P/Schwassmann-Wachmann 3-H,53839.0,2453894.78,0.6935658067,11.3910639,198.77380449999998,69.90789141,0.9391695084999999,5.19,5.37,0.04055,4.6315892105263155e-08,9.713200000000005e-11,2.7707000000000006e-10,20.567499999999995,14,73P/Schwassmann-Wachmann 3-H
73P/Schwassmann-Wachmann 3-J,53815.0,2453894.65,0.6915388167000001,11.38026546,198.86944409999998,69.82886018,0.9390202047,5.15,5.31,0.040713,4.631589210526316e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-J
73P/Schwassmann-Wachmann 3-K,53839.0,2453894.722,0.6935434852,11.39106462,198.7896439,69.8973434,0.9390768439,5.19,5.36,0.040579000000000004,4.631589210526316e-08,9.713200000000003e-11,2.7707e-10,20.567499999999995,4,73P/Schwassmann-Wachmann 3-K
73P/Schwassmann-Wachmann 3-L,53839.0,2453894.829,0.694735675,11.398712800000002,198.74759440000003,69.93678268,0.9390893943999999,5.21,5.4,0.040654,4.6315892105263155e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567499999999995,7,73P/Schwassmann-Wachmann 3-L
73P/Schwassmann-Wachmann 3-M,53839.0,2453894.7569999998,0.6939409383,11.39436144,198.7775561,69.90530158,0.9390968147,5.2,5.37,0.040589,4.631589210526317e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567499999999995,11,73P/Schwassmann-Wachmann 3-M
73P/Schwassmann-Wachmann 3-N,53839.0,2453894.77,0.6922889938,11.38094121,198.7643511,69.89730281,0.9392543584,5.17,5.33,0.040527,4.631589210526316e-08,9.713200000000002e-11,2.770700000000001e-10,20.567499999999995,14,73P/Schwassmann-Wachmann 3-N
73P/Schwassmann-Wachmann 3-P,53839.0,2453894.353,0.6955758994,11.40542193,198.7241361,69.9561999,0.9391591394,5.23,5.42,0.04065,4.631589210526316e-08,9.713200000000005e-11,2.7707000000000006e-10,20.567499999999995,7,73P/Schwassmann-Wachmann 3-P
73P/Schwassmann-Wachmann 3-Q,53839.0,2453894.179,0.6986472443999999,11.419358099999998,198.4951922,70.13788751,0.9397157482999999,5.3,5.51,0.040746,4.631589210526316e-08,9.713199999999998e-11,2.770700000000001e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-Q
73P/Schwassmann-Wachmann 3-R,53839.0,2453894.68,0.6940882133,11.3947263,198.7697021,69.91308584,0.9391315473,5.2,5.38,0.04058,4.6315892105263155e-08,9.713200000000005e-11,2.7707000000000006e-10,20.567499999999995,15,73P/Schwassmann-Wachmann 3-R
73P/Schwassmann-Wachmann 3-S,53839.0,2453895.26,0.6933582331999999,11.04818134,181.5621916,81.99161507,1.022366578,5.65,6.09,0.0073549999999999996,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-S
73P/Schwassmann-Wachmann 3-T,53839.0,2453895.2,0.7119324141,11.51229958,198.1833801,70.47600442,0.9393187761,5.58,5.89,0.041618,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,5,73P/Schwassmann-Wachmann 3-T
73P/Schwassmann-Wachmann 3-U,53839.0,2453895.536,0.6893974587999999,11.35982065,198.8353865,69.83271992,0.9393903294,5.11,5.26,0.040297,4.6315892105263155e-08,9.713200000000003e-11,2.770700000000001e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-U
73P/Schwassmann-Wachmann 3-V,53839.0,2453894.977,0.6934869706,11.65182376,204.9294792,65.24678693,0.9122067361,5.04,5.13,0.043636,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-V
73P/Schwassmann-Wachmann 3-W,53839.0,2453894.97,0.6975732498,11.41831799,198.6608054,70.01698507,0.9391250326,5.27,5.47,0.040799,4.6315892105263155e-08,9.713200000000001e-11,2.770700000000001e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-W
73P/Schwassmann-Wachmann 3-X,53839.0,2453895.055,0.6947512887999999,11.39938737,198.7509795,69.92862059,0.9390826998,5.21,5.4,0.040651,4.631589210526317e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567499999999995,7,73P/Schwassmann-Wachmann 3-X
73P/Schwassmann-Wachmann 3-Y,53839.0,2453895.095,0.7195023037,11.56184126,197.9700547,70.66913935,0.9391657408,5.76,6.13,0.042145,4.631589210526316e-08,9.713200000000002e-11,2.7707000000000006e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-Y
73P/Schwassmann-Wachmann 3-Z,53839.0,2453894.809,0.6933582331999999,11.34947201,198.01614630000003,70.49401081,0.9420391540999999,5.2,5.38,0.040223,4.6315892105263155e-08,9.713200000000002e-11,2.7707000000000006e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-Z
73P/Schwassmann-Wachmann 3-AA,53839.0,2453895.6659999997,0.6806338789,11.29506494,199.10793950000001,69.57271647,0.9392845342,4.94,5.04,0.039837,4.631589210526316e-08,9.713200000000001e-11,2.7707e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-AA
73P/Schwassmann-Wachmann 3-AB,53856.0,2453895.214,0.6912468087,11.37319386,198.8169658,69.85894301,0.9391663283,5.14,5.31,0.040615,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,4,73P/Schwassmann-Wachmann 3-AB
73P/Schwassmann-Wachmann 3-AC,53856.0,2453895.1780000003,0.6953671145999999,11.40528019,198.7526383,69.93380114,0.9390452533,5.23,5.41,0.040806999999999996,4.6315892105263155e-08,9.713200000000002e-11,2.7707000000000006e-10,20.567499999999995,5,73P/Schwassmann-Wachmann 3-AC
73P/Schwassmann-Wachmann 3-AD,53839.0,2453895.179,0.6933582331999999,11.36836584,198.37132340000002,70.21921728,0.9407073595000001,5.19,5.37,0.040376,4.631589210526316e-08,9.713200000000003e-11,2.7707e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-AD
73P/Schwassmann-Wachmann 3-AE,53839.0,2453894.826,0.6967256567,11.41469069,198.70814230000002,69.9723223,0.939051181,5.25,5.45,0.040753,4.6315892105263155e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567499999999992,5,73P/Schwassmann-Wachmann 3-AE
73P/Schwassmann-Wachmann 3-AF,53839.0,2453893.514,0.6762990181999999,11.23973276,198.71639030000003,69.84971350000001,0.9411849123,4.87,4.96,0.039428,4.631589210526316e-08,9.713200000000001e-11,2.770700000000001e-10,20.567499999999992,1,73P/Schwassmann-Wachmann 3-AF
73P/Schwassmann-Wachmann 3-AG,53839.0,2453895.498,0.6957811465000001,11.40758964,198.70529430000002,69.95896614,0.9390392448999999,5.23,5.42,0.040779,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.56749999999999,4,73P/Schwassmann-Wachmann 3-AG
73P/Schwassmann-Wachmann 3-AH,53839.0,2453895.13,0.6933582331999999,11.33063244,197.7396254,70.70742061,0.9429866147,5.21,5.39,0.040154,4.631589210526317e-08,9.713200000000005e-11,2.7707000000000006e-10,20.56749999999999,3,73P/Schwassmann-Wachmann 3-AH
73P/Schwassmann-Wachmann 3-AI,53836.0,2453895.2,0.6982511274,11.43065377,198.7294365,69.97109124,0.9388880723999999,5.28,5.49,0.04071,4.631589210526316e-08,9.713200000000002e-11,2.770700000000001e-10,20.567499999999985,4,73P/Schwassmann-Wachmann 3-AI
73P/Schwassmann-Wachmann 3-AJ,53839.0,2453894.511,0.8001952857,12.14931754,196.7656541,72.0622749,0.936080103,8.43,10.14,0.046608,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-AJ
73P/Schwassmann-Wachmann 3-AK,53839.0,2453894.883,0.6933582331999999,11.42949727,199.32569809999998,69.37619102,0.9377052113,5.18,5.35,0.040319,4.6315892105263155e-08,9.713200000000002e-11,2.7707000000000006e-10,20.5675,3,73P/Schwassmann-Wachmann 3-AK
73P/Schwassmann-Wachmann 3-AL,53839.0,2453894.906,0.6998428234999999,11.44393328,198.7225549,69.97977383,0.9387685839,5.32,5.53,0.040892000000000005,4.631589210526316e-08,9.713200000000002e-11,2.7707000000000006e-10,20.5675,2,73P/Schwassmann-Wachmann 3-AL
73P/Schwassmann-Wachmann 3-AM,53839.0,2453894.701,0.6933582331999999,11.54419805,201.08859640000003,68.11933346,0.9309371637,5.14,5.29,0.04092,4.6315892105263155e-08,9.713200000000001e-11,2.7707e-10,20.567500000000003,1,73P/Schwassmann-Wachmann 3-AM
73P/Schwassmann-Wachmann 3-AN,53839.0,2453894.816,0.6947569553,11.40514157,198.80119530000002,69.89155967,0.9389973237,5.21,5.4,0.040601,4.631589210526316e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567500000000003,4,73P/Schwassmann-Wachmann 3-AN
